分区方案,仓库
郑州邮政小包PLUS,HZ01 [杭州1号仓]
郑州邮政小包PLUS,HZ02 [杭州2号仓]
郑州邮政小包PLUS,CNZF01 [郑州仓]
深圳邮政小包PLUS分区,SZ01 [深圳1号仓]
深圳邮政小包PLUS分区,SZ03 [深圳3号仓]
深圳邮政小包PLUS分区,SZBT [深圳坂田仓]
燕文中邮PLUS,GZ01 [广州1号仓]
杭州E邮宝线下分区NEW,HZ01 [杭州1号仓]
杭州E邮宝线下分区NEW,HZ02 [杭州2号仓]
杭州EMS速递分区,HZ01 [杭州1号仓]
杭州EMS速递分区,HZ02 [杭州2号仓]
顺邮宝挂号分区2,HZ01 [杭州1号仓]
顺邮宝挂号分区2,HZ02 [杭州2号仓]
顺邮宝平邮plus分区2,HZ01 [杭州1号仓]
顺邮宝平邮plus分区2,HZ02 [杭州2号仓]
顺邮宝平邮分区2,HZ01 [杭州1号仓]
顺邮宝平邮分区2,HZ02 [杭州2号仓]
万邑通易递宝马邮平邮2,HZ01 [杭州1号仓]
万邑通易递宝马邮平邮2,HZ02 [杭州2号仓]
郑州邮政小包挂号分区NEW,HZ01 [杭州1号仓]
郑州邮政小包挂号分区NEW,HZ02 [杭州2号仓]
郑州邮政小包挂号分区NEW,CNZF01 [郑州仓]
杭州E邮宝线上分区NEW,HZ01 [杭州1号仓]
杭州E邮宝线上分区NEW,HZ02 [杭州2号仓]
马邮小包挂号分区2,HZ01 [杭州1号仓]
马邮小包挂号分区2,HZ02 [杭州2号仓]
万邑通易递宝马邮平邮4,CNZF01 [郑州仓]
郑州e邮宝线下分区,CNZF01 [郑州仓]
郑州e邮宝线上分区,CNZF01 [郑州仓]
深圳邮政小包平邮分区,SZ01 [深圳1号仓]
深圳邮政小包平邮分区,SZ03 [深圳3号仓]
深圳邮政小包平邮分区,SZBT [深圳坂田仓]
顺邮宝平邮分区2,SZ01 [深圳1号仓]
顺邮宝平邮分区2,GZ01 [广州1号仓]
顺邮宝平邮分区2,SZ03 [深圳3号仓]
顺邮宝平邮分区2,SZBT [深圳坂田仓]
顺邮宝挂号分区,HZ01 [杭州1号仓]
顺邮宝挂号分区,HZ02 [杭州2号仓]
顺邮宝挂号分区,SZ01 [深圳1号仓]
顺邮宝挂号分区,GZ01 [广州1号仓]
顺邮宝挂号分区,SZ03 [深圳3号仓]
顺邮宝挂号分区,SZBT [深圳坂田仓]
顺邮宝平邮plus分区,HZ01 [杭州1号仓]
顺邮宝平邮plus分区,HZ02 [杭州2号仓]
顺邮宝平邮plus分区,SZ01 [深圳1号仓]
顺邮宝平邮plus分区,GZ01 [广州1号仓]
顺邮宝平邮plus分区,SZ03 [深圳3号仓]
顺邮宝平邮plus分区,SZBT [深圳坂田仓]
顺邮宝挂号plus,SZ01 [深圳1号仓]
顺邮宝挂号plus,GZ01 [广州1号仓]
顺邮宝挂号plus,SZ03 [深圳3号仓]
顺邮宝挂号plus,SZBT [深圳坂田仓]
广州E邮宝线下分区NEW,GZ01 [广州1号仓]
广州EMS速递分区,GZ01 [广州1号仓]
DHL经济小包平邮分区NEW,SZ01 [深圳1号仓]
DHL经济小包平邮分区NEW,GZ01 [广州1号仓]
DHL经济小包平邮分区NEW,SZ03 [深圳3号仓]
DHL经济小包平邮分区NEW,SZBT [深圳坂田仓]
DHL经济小包挂号分区NEW,SZ01 [深圳1号仓]
DHL经济小包挂号分区NEW,GZ01 [广州1号仓]
DHL经济小包挂号分区NEW,SZ03 [深圳3号仓]
DHL经济小包挂号分区NEW,SZBT [深圳坂田仓]
万邑通易递宝马邮平邮3,GZ01 [广州1号仓]
燕文WISH邮挂号,GZ01 [广州1号仓]
马邮小包平邮分区,SZ01 [深圳1号仓]
马邮小包平邮分区,GZ01 [广州1号仓]
马邮小包平邮分区,SZ03 [深圳3号仓]
马邮小包平邮分区,SZBT [深圳坂田仓]
马邮小包平邮分区,HZ01 [杭州1号仓]
马邮小包平邮分区,HZ02 [杭州2号仓]
马邮小包挂号分区,SZ01 [深圳1号仓]
马邮小包挂号分区,GZ01 [广州1号仓]
马邮小包挂号分区,SZ03 [深圳3号仓]
马邮小包挂号分区,SZBT [深圳坂田仓]
马邮小包挂号分区,HZ01 [杭州1号仓]
马邮小包挂号分区,HZ02 [杭州2号仓]
广州E邮宝线上分区NEW,GZ01 [广州1号仓]
万邑通易递宝DHL,SZ01 [深圳1号仓]
万邑通易递宝DHL,GZ01 [广州1号仓]
万邑通易递宝DHL,SZ03 [深圳3号仓]
万邑通易递宝DHL,SZBT [深圳坂田仓]
