"	中文国家名称","	国际二字码"
津巴布韦,ZW
赞比亚,ZM
扎伊尔,ZR
南斯拉夫,JU
也门阿拉伯共合国,YE
西萨摩亚,WS
西撒哈拉,EH
瓦利斯群岛和富图纳群岛,WF
美属维尔京群岛,VI
英属维尔京群岛,VG
越南,VN
委内瑞拉,VE
梵蒂冈,VA
瓦努阿图,VU
乌兹别克斯坦,UZ
乌拉圭,UY
美国本土外小岛屿,UM
美国,US
英国,GB
阿拉伯联合酋长国,AE
乌克兰,UA
乌干达,UG
图瓦卢,TV
特克斯和凯科斯群岛,TC
土库曼斯坦,TM
土耳其,TR
突尼斯,TN
特里斯坦,TA
特立尼达和多巴哥,TT
汤加,TO
托克劳,TK
多哥,TG
泰国,TH
坦桑尼亚,TZ
塔吉克斯坦,TJ
台湾,TW
叙利亚,SY
瑞士,CH
瑞典,SE
斯威士兰,SZ
斯瓦尔巴岛和扬马延岛,SJ
苏里南,SR
苏丹,SD
圣马腾岛,XM
圣卢西亚岛,LC
圣尤斯塔提马斯岛,XE
圣巴特勒米岛,XY
圣赫勒拿岛,SH
斯里兰卡,LK
北非西班牙属土,XG
西班牙,ES
南苏丹共和国,SS
韩国,KR
南乔治亚岛和南桑威奇群岛,GS
南非,ZA
索马里共和国,XS
索马里,SO
所罗门群岛,SB
斯洛文尼亚,SI
斯洛伐克共和国,SK
新加坡,SG
塞拉里昂,SL
塞舌尔,SC
塞尔维亚共和国,RS
塞内加尔,SN
沙特阿拉伯,SA
圣多美和普林西比,ST
圣马力诺,SM
北马里亚纳群岛,MP
圣文森特和格林纳丁斯岛,VC
圣皮埃尔和密克隆群岛,PM
圣基茨,KN
卢旺达,RW
俄罗斯,RU
罗马尼亚,RO
留尼汪岛,RE
卡塔尔,QA
波多黎各,PR
葡萄牙,PT
波兰,PL
皮特凯恩群岛,PN
菲律宾,PH
秘鲁,PE
巴拉圭,PY
巴布亚新几内亚,PG
巴拿马,PA
帕劳,PW
巴基斯坦,PK
阿曼,OM
挪威,NO
朝鲜,KP
诺褔克岛,NF
纽埃岛,NU
尼日利亚,NG
尼日尔,NE
尼加拉瓜,NI
新西兰,NZ
新喀里多尼亚,DF
尼维斯岛,XN
荷属安的列斯群岛,AN
荷兰,NL
尼泊尔,NP
瑙鲁共和国,NR
纳米比亚,NA
缅甸,MM
莫桑比克,MZ
摩洛哥,MA
蒙特塞拉岛,MS
黑山共和国,ME
蒙古,MN
摩纳哥,MC
摩尔多瓦,MD
密克罗尼西亚,FM
墨西哥,MX
马约特,YT
毛里求斯,MU
毛里塔尼亚,MR
马提尼克岛,MQ
马绍尔群岛,MH
马耳他,MT
马里,ML
马尔代夫,MV
马来西亚,MY
马拉维,MW
马德拉岛,XI
马达加斯加,MG
马其顿,MK
澳门,MO
卢森堡,LU
立陶宛,LT
列支敦士登,LI
利比亚,LY
利比里亚,LR
莱索托,LS
黎巴嫩,LB
拉脱维亚,LV
老挝,LA
吉尔吉斯斯坦,KG
科威特,KW
科索沃,KV
基利巴斯共和国,KI
肯尼亚,KE
哈萨克斯坦,KZ
约旦,JO
泽西岛(英属),JE
日本,JP
牙买加,JM
意大利,IT
以色列,IL
爱尔兰,IE
伊拉克,IQ
伊朗,IR
印度尼西亚,ID
印度,IN
冰岛,IS
匈牙利,HU
香港,HK
洪都拉斯,HN
赫德岛和麦克唐纳岛,HM
海地,HT
圭亚那,GY
几内亚比绍,GW
几内亚,GN
根西岛,GG
危地马拉,GT
关岛,GU
瓜德罗普,GP
格林纳达,GD
格陵兰,GL
希腊,GR
直布罗陀,GI
加纳,GH
德国,DE
格鲁吉亚,GE
冈比亚,GM
加蓬,GA
法属南部领土,TF
塔希堤岛(法属波利尼西亚),PF
法属圭亚那,GF
法属美特罗波利坦,FX
法国,FR
芬兰,FI
斐济,FJ
法罗群岛,FO
福克兰群岛,FK
埃塞俄比亚,ET
爱沙尼亚,EE
厄里特立亚,ER
赤道几内亚,GQ
萨尔瓦多,SV
埃及,EG
厄瓜多尔,EC
东帝汶,TL
多米尼加共和国,DO
多米尼克,DM
吉布提,DJ
丹麦,DK
捷克共和国,CZ
塞浦路斯,CY
库拉索岛(荷兰),XC
古巴,CU
克罗地亚,HR
科特迪瓦(象牙海岸),CI
哥斯达黎加,CR
库克群岛,CK
刚果民主共和国,CD
刚果,CG
科摩罗,KM
哥伦比亚,CO
科科斯群岛,CC
圣诞岛,CX
中国,CN
智利,CL
乍得,TD
中非共和国,CF
开曼群岛,KY
加罗林群岛,XK
佛得角群岛,CV
加那利群岛,IC
加拿大,CA
喀麦隆,CM
柬埔寨,KH
布隆迪,BI
布基纳法索,BF
保加利亚,BG
文莱,BN
英属印度洋地区(查各群岛),IO
巴西,BR
布维岛,BV
博茨瓦纳,BW
波斯尼亚-黑塞哥维那共和国,BA
伯奈尔岛,XB
玻利维亚,BO
不丹,BT
百慕大,BM
贝宁,BJ
伯利兹,BZ
比利时,BE
白俄罗斯(独联体),BY
巴巴多斯,BB
孟加拉国,BD
巴利阿里群岛,XJ
巴林,BH
巴哈马,BS
亚速尔群岛,XH
阿塞拜疆(独联体),AZ
奥地利,AT
澳大利亚,AU
阿森松,XD
阿鲁巴岛,AW
亚美尼亚,AM
阿根廷,AR
安提瓜及巴布达,AG
安圭拉岛,AI
安哥拉,AO
安道尔,AD
美属萨摩亚群岛,AS
阿尔及利亚,DZ
阿尔巴尼亚,AL
阿富汗,AF
null,NC
