发货仓：,目的地国家：,重量：
HZ02 [杭州2号仓],法国,1.300000

中文名称,运输方式代码,分区代码,重量,运费,杂费,总费用
万邑通易递宝马邮平邮,WINIT-EDS-MYPY2,2,1.300000,79.001000,2.600000,81.601000
杭州E邮宝线下,HZSDXX,4,1.300000,66.300000,16.150000,82.450000
郑州邮政小包PLUS,ZZZYPL,1,1.300000,77.350000,8.500000,85.850000
郑州邮政小包平邮,ZZZYPY,4,1.300000,88.400000,0.000000,88.400000
顺邮宝平邮plus,SYSYPP2,13,1.300000,92.300000,2.500000,94.800000
万邑通易递宝香港平邮,WINIT-EDS-XGPY2,5,1.300000,110.396000,0.000000,110.396000
顺邮宝平邮,SYSYPY2,13,1.300000,110.500000,0.000000,110.500000
万邑通易递宝中邮+平邮,WINIT-EDS-ZY2,22,1.300000,110.500000,0.000000,110.500000
顺邮宝挂号,SYSYGH2,13,1.300000,110.500000,8.000000,118.500000
杭州EMS速递,HZSDEM,6,1.300000,200.000000,0.000000,200.000000
郑州邮政小包挂号,ZZZYGH,该派送方式不支持该国家
杭州E邮宝线上,HZSDXS,该派送方式不支持该国家
马邮小包挂号,SYMYGH2,该派送方式不支持该国家
马邮小包平邮,SYMYPY2,该派送方式不支持该国家
顺邮宝挂号plus,SYSYGP2,该派送方式不支持该国家
